,Entity1,Entity2,Relation
13223,india,model,develop
13224,Article,China,supported
13225,authors,manuscript,read
13226,authors,interests,declare
13227,Nature,affiliations,remains
13228,article,changes,permits
13229,article,material,included
13230,use,holder,need
13231,data,centre,Manage
13232,bear,conference,remarked
13233,Russians,Crimea,stopped
13234,December,Sweden,turned
13235,British,countries,adds
13236,Congress,individuals,mean
13237,Russia,willingness,continued
13238,Year,House,ushers
13239,U.S,arms,argued
13240,Moscow,countries,opposed
13241,effort,Russia,deploy
13242,plans,defenses,deployed
13243,Tuner,capability,said
13244,Russia,West,threat
13245,systems,foes,insisted
13246,U.S,document,remains
13247,U.S,systems,case
13248,Russia,use,moved
13249,Treaty,agreement,ushered
13250,Ind,defense,raised
13251,Europe,threats,speed
13252,Russia,policy,curb
13253,Europe,threats,stated
13254,shield,Washington,said
13255,Sam,bear,stopped
13256,vulnerabilities,consequences,exploited
13257,software,infrastructures,vulnerabilities
13258,standards,training,mandate
13259,guidelines,industry,combines
13260,events,site,took
13261,compliance,hints,performs
13262,platform,events,evaluated
13263,awareness,coding,surveys
13264,attacks,systems,target
13265,malware,Communications,contains
13266,V3,distribution,attacked
13267,malware,Arabia,coined
13268,USD,countries,exceeded
13269,intention,networks,alerts
13270,Figure,CERT,shows
13271,advisories,year,issued
13272,advisories,systems,correlate
13273,exploits,software,reported
13274,2020,code,shown
13275,developers,coding,lack
13276,companies,software,result
13277,consequences,infrastructures,deployed
13278,consequences,life,range
13279,awareness,industry,improve
13280,tool,game,presents
13281,model,phases,presents
13282,model,savings,describes
13283,requirements,standards,imposed
13284,phases,engineering,covered
13285,standards,audits,checked
13286,defects,developers,suggests
13287,number,stage,vulnerabilities
13288,mechanisms,code,shown
13289,work,hand,writes
13290,languages,vulnerabilities,choose
13291,players,document,joined
13292,address,cybersecurity,outlines
13293,cycle,training,processes
13294,policies,development,address
13295,Code,software,aim
13296,C++,standards,exist
13297,Mellon,safety,aims
13298,standard,devices,include
13299,rules,automaton,contain
13300,case,measure,requires
13301,developer,guidelines,knows
13302,game,entertainment,designed
13303,games,skill,developed
13304,hobbyists,skills,developed
13305,events,development,argue
13306,CTFs,activity,argue
13307,participants,awareness,means
13308,exercises,academia,teaching
13309,classes,outcomes,includes
13310,approach,exercises,uses
13311,work,aspects,correct
13312,games,industry,requirements
13313,events,industry,focuses
13314,events,perspective,focus
13315,authors,event,provide
13316,player,challenge,challenge
13317,work,challenge,extends
13318,Challenges,events,introduce
13319,player,game,use
13320,guidelines,practices,depends
13321,hints,challenge,provided
13322,player,criteria,created
13323,player,effect,generated
13324,suitability,awareness,raise
13325,instances,suitability,developed
13326,guidelines,practices,find
13327,work,researchers,possible
13328,Figure,areas,shows
13329,needs,work,gives
13330,genre,training,discusses
13331,work,technique,makes
13332,2018,developers,argue
13333,developers,practices,tend
13334,developers,developers,concludes
13335,adherence,principles,believe
13336,al,challenges,shown
13337,unit,challenges,use
13338,terms,functionality,evaluate
13339,code,effects,tested
13340,functions,cybersecurity,focus
13341,learning,learning,argue
13342,algorithm,techniques,aims
13343,humans,code,aim
13344,technique,states,consists
13345,versions,questions,issued
13346,principle,system,adapted
13347,work,al,use
13348,order,artifact,evaluate
13349,work,dimensions,define
13350,intention,code,relates
13351,analysis,results,obtained
13352,adequacy,developers,seeks
13353,players,restrictions,spread
13354,focus,language,challenges
13355,teams,challenges,form
13356,MISRA,2017,address
13357,team,dashboard,awarded
13358,players,challenges,accumulate
13359,points,game,wins
13360,guidelines,practices,intends
13361,Figure,architecture,depicts
13362,server,dashboard,runs
13363,Figure,phases,consists
13364,references,challenge,discussed
13365,needs,platform,solved
13366,player,guidelines,needs
13367,player,challenge,given
13368,solution,solution,submit
13369,player,solution,awarded
13370,phase,phase,result
13371,challenge,stage,finished
13372,stage,questions,include
13373,explanation,challenge,contains
13374,flag,rules,submits
13375,results,step,performs
13376,example,challenge,provide
13377,surveys,approach,use
13378,authors,industry,2020b
13379,Player,vulnerabilities,contains
13380,vulnerabilities,BP,fix
13381,functionality,code,fulfilled
13382,code,solution,aims
13383,BP,challenges,terms
13384,means,industry,raise
13385,work,frameworks,proposes
13386,Player,Testing,solution
13387,authors,coach,propose
13388,gameplay,code,help
13389,contributes,RQ2,answer
13390,questions,flag,composed
13391,participants,event,asked
13392,Survey,event,conducted
13393,participants,event,asked
13394,solution,RQ2,described
13395,evaluate,challenges,results
13396,raise,industry,results
13397,participants,answers,decided
13398,Project,Player,contains
13399,hints,participant,terms
13400,interactions,component,stored
13401,Project,interface,reads
13402,Player,analysis,submits
13403,architecture,Fig,shown
13404,interface,backend,takes
13405,backend,participant,collecting
13406,Project,folder,submitted
13407,files,place,takes
13408,Project,files,compiled
13409,assessment,sandbox,performed
13410,Challenge,feedback,available
13411,backend,browser,forwarded
13412,analysis,place,reported
13413,Step,analysis,performs
13414,steps,sandbox,involve
13415,debugging,connections,contains
13416,executable,sandbox,allowed
13417,attacks,usage,avoids
13418,vulnerabilities,code,provided
13419,Steps,tests,perform
13420,authors,completeness,lists
13421,platform,OS,marked
13422,component,Fig,shown
13423,feedback,participant,runs
13424,Figure,technique,shows
13425,vulnerabilities,Project,determine
13426,solution,compile,rejected
13427,hints,participant,uses
13428,findings,vulnerability,tools
13429,vulnerabilities,BP,mapped
13430,events,code,corresponds
13431,path,vulnerabilities,assigned
13432,priorities,al,presented
13433,engine,finding,selects
13434,level,state,depends
13435,hint,Player,sent
13436,Table,path,shows
13437,hint,solution,contains
13438,component,Player,enriches
13439,authors,hint,implemented
13440,hint,system,sent
13441,aspect,future,needed
13442,platform,connection,deployed
13443,order,tools,install
13444,platform,Flask,developed
13445,Player,backend,hints
13446,buttons,functionalities,contains
13447,challenge,consideration,taken
13448,Enumerations,Challenges,contains
13449,compiler,compilation,Phases
13450,compiler,function,eliminate
13451,memory,behavior,result
13452,locations,function,explained
13453,Player,platform,consists
13454,code,user,shows
13455,code,Challenge,contains
13456,ConnectToServer,pragma,needs
13457,platform,solution,provides
13458,Player,consequences,given
13459,information,challenge,shows
13460,Player,references,given
13461,platform,events,shown
13462,Table,format,shows
13463,developers,Germany,industry
13464,time,min,took
13465,events,day,lasted
13466,competition,feedback,consisted
13467,game,platform,ensure
13468,teams,strategy,decide
13469,team,break,decided
13470,ceremony,place,takes
13471,coaches,challenges,performed
13472,walkthrough,participants,collected
13473,participants,questions,asked
13474,participants,survey,asked
13475,participants,S2,asked
13476,participants,Survey,asked
13477,participants,5,asked
13478,challenges,platform,contained
13479,recognize,code,asked
13480,S2,platform,contains
13481,survey,challenges,means
13482,framework,questions,develop
13483,S3,platform,survey
13484,experience,events,gathered
13485,participants,mandatory,asked
13486,section,results,presents
13487,S3,questions,relate
13488,data,version,presented
13489,questions,S1,shows
13490,results,4,collected
13491,events,participation,counted
13492,teams,study,contains
13493,Evaluation,Q3,Q2
13494,participants,code,fix
13495,Note,deviation,questions
13496,challenges,Figs,shown
13497,Evaluation,rating,Challenges
13498,Reliance,rating,note
13499,Figure,Q2,shows
13500,summary,S1,shows
13501,observe,agreement,weighted
13502,challenges,hints,question
13503,S2,answers,shows
13504,%,results,Agree
13505,developers,experience,results
13506,agreement,σ=0.76,weighted
13507,average,points,observe
13508,platform,guidelines,secure
13509,solving,activity,indicates
13510,challenges,participants,presented
13511,platform,code,ranked
13512,players,action,exploit
13513,value,cases,think
13514,Figure,4,shows
13515,survey,event,mandatory
13516,agreement,4.30,values
13517,questions,score,obtained
13518,result,event,shows
13519,success,phases,includes
13520,importance,guidelines,secure
13521,question,value,directed
13522,X4,activities,understand
13523,awareness,guidelines,raise
13524,questions,tools,understand
13525,developers,tools,designed
13526,platform,tools,conclude
13527,X11,rank,obtained
13528,challenges,work,adapted
13529,authors,introduction,think
13530,theories,questions,shows
13531,factors,author,experience
13532,information,company,contribute
13533,numbers,component,represent
13534,Awareness,Protection,follows
13535,Awareness,Factors,followed
13536,environment,event,contributes
13537,platform,guidelines,presented
13538,developers,Coach,presented
13539,S2,awareness,evaluate
13540,Event,event,nr
13541,workshops,industry,conducted
13542,events,RQ3,results
13543,participants,event,asked
13544,studies,Security,feedback
13545,participant,work,caused
13546,work,Sifu,implemented
13547,platform,industry,geared
13548,Event,experiment,gathered
13549,persons,industry,survey
13550,platform,industry,events
13551,participants,events,took
13552,survey,event,capture
13553,surveys,participants,administered
13554,survey,countries,mandatory
13555,language,events,affect
13556,perceptions,artifact,lead
13557,participants,share,asked
13558,participants,developers,given
13559,teams,problem,help
13560,coaches,differences,detect
13561,success,developers,expected
13562,developers,developers,helped
13563,discussions,solution,gives
13564,authors,weakness,think
13565,authors,reasons,think
13566,coaches,events,matches
13567,incidents,practices,traced
13568,developers,coding,linked
13569,study,code,shows
13570,lack,life,problem
13571,developers,code,mandate
13572,guidelines,policies,instruct
13573,way,guidelines,raise
13574,means,Security,achieve
13575,game,developers,developed
13576,work,authors,extends
13577,Challenges,perspective,focused
13578,implementation,ideas,accomplished
13579,player,guidelines,fix
13580,code,solution,determine
13581,solution,solution,submitted
13582,mechanisms,end,allow
13583,surveys,platform,targeted
13584,awareness,practices,raise
13585,developers,challenges,challenges
13586,Sifu,ratings,awareness
13587,developers,experience,obtained
13588,work,industry,raise
13589,authors,process,intend
13590,ways,platform,perform
13591,authors,participants,collected
13592,developers,event,lead
13593,investigation,presentation,allow
13594,authors,coach,investigate
13595,quality,sources,depends
13596,information,assessment,intend
13597,license,link,https://gitlab.com/tgasiba/sifu
13598,question,team,RuleChecker
13599,Guidelines,systems,use
13600,review,journals,trends
13601,Easiest,Framework,Capture
13602,Lowering,participation,Association
13603,obstacles,model,Association
13604,Games,Industry,geared
13605,eds)2019,Conference,DE
13606,analysis,vulnerabilities,detect
13607,Graziotin,developers,happens
13608,interviews,groups,focus
13609,Guidelines,systems,use
13610,CWE,Function,Use
13611,roadblocks,teams,finds
13612,DSS,procedures,Requirements
13613,Cyberabwehr,hohem,vol
13614,GDPR,cybercrime,Springer
13615,Approach,Awareness(Leventakis,Improve
13616,Vasconcelos,exercises,generate
13617,competitions,development,secure
13618,WhiteSource,languages/.,Secure
13619,authors,suggestions,thank
13620,authors,AG,thank
13621,context,author,carried
13622,terms,questions,survey
13623,review,manuscript,writing
13624,authors,manuscript,read
13625,authors,interests,declare
13626,Nature,affiliations,remains
13627,article,changes,permits
13628,article,material,included
13629,use,holder,need
13630,data,centre,Manage
13631,processes,hardware,isolated
13632,hypervisor,machine,isolates
13633,paper,enclaves,demonstrate
13634,malware,conceal,abusing
13635,implementation,primitive,perform
13636,attack,trace,extract
13637,systems,processes,protect
13638,secrets,networks,include
13639,secrets,systems,compromise
13640,problems,cloud,arise
13641,providers,hypervisor,use
13642,hypervisor,tenants,isolates
13643,hypervisors,attacks,provide
13644,researchers,cache,demonstrated
13645,attacks,al,recover
13646,Intel,microarchitecture,introduced
13647,protection,hardware,uses
13648,cases,input,include
13649,memory,Corporation,recommends
13650,isolation,enclaves,led
13651,executes,fetches,outlined
13652,analyze,malware,executed
13653,syscalls,operations,eliminated
13654,attacks,enclaves,rely
13655,malware,hardware,demonstrated
13656,system,SGX,analyzed
13657,approaches,counter,attack
13658,containers,attack,protect
13659,attacks,enclave,demonstrate
13660,combining,pages,bits
13661,timings,native,enclave
13662,key,min,extract
13663,section,scenario,outlines
13664,Extracting,malware,describes
13665,Recovering,phase,explains
13666,section,implementation,evaluates
13667,section,countermeasures,discusses
13668,section,work,concludes
13669,Extensions,microarchitecture,introduced
13670,SGX,enclaves,allows
13671,access,CPU,blocked
13672,enclaves,system,need
13673,malware,privileges,protect
13674,enclave,process,resides
13675,region,pages,backed
13676,CPU,protection,maintain
13677,DRAM,module,encrypted
13678,protects,DRAM,enclaves
13679,refuse,enclave,specified
13680,attempt,payload,hide
13681,code,secrets,carry
13682,information,runtime,provisioned
13683,enclave,enclave,ensure
13684,SGX,measurement,provides
13685,SGX,versions,comes
13686,pages,creation,allocated
13687,pages,runtime,swapped
13688,SGX2,runtime,extends
13689,attack,SGX2,use
13690,Docker,SGX,support
13691,software,container,allows
13692,containers,machine,share
13693,Docker,machines,isolates
13694,SGX,containers,proposed
13695,properties,system,exploit
13696,attacks,memory,exploit
13697,attacks,secrets,studied
13698,attacks,cores,focused
13699,caches,caches,built
13700,set,size,consists
13701,byte,maps,determines
13702,byte,cache,lowest
13703,step,measures,evicts
13704,address,eviction,falls
13705,step,programs,took
13706,deriving,access,allows
13707,work,boundaries,shown
13708,addresses,set,set
13709,set,cache,depends
13710,Intel,Bridge,access
13711,step,pattern,minimize
13712,2016,addresses,found
13713,Figure,strategy,shows
13714,cache,Falkner,set
13715,victim,memory,need
13716,time,line,shared
13717,attacks,Irazoqui,studied
13718,deduplication,cloud,considered
13719,2016,memory,found
13720,modules,system,shared
13721,buffer,row,holds
13722,locations,buffer,accesses
13723,difference,boundaries,exploited
13724,DIMMs,channels,connected
13725,sides,chips,equipped
13726,rank,banks,composed
13727,banks,size,organized
13728,cells,Pessl,undocumented
13729,addresses,DIMM,map
13730,SGX,attacks,consider
13731,SGX,attacks,features
13732,advertises,SGX,recommends
13733,SGX,attacks,provide
13734,focus,system,lies
13735,system,faults,attacks
13736,system,enclave,rely
13737,enclaves,enclaves,share
13738,Flush+Reload,enclaves,attacks
13739,DRAM,EPC,performed
13740,attacks,enclaves,enclaves
13741,RSA,library,create
13742,exponentiation,multiply,implemented
13743,multiplication,bit,carried
13744,mbedTLS,exponentiation,uses
13745,base,size,suggests
13746,memory,microarchitectures,limit
13747,size,Algorithm,shown
13748,attack,sizes,showed
13749,attack,RSA,implement
13750,operation,routine,carried
13751,routine,algorithms,exploited
13752,2015,exponent,showed
13753,2003,bits,showed
13754,2009,bits,showed
13755,results,corruptions,recovered
13756,victim,machine,model
13757,scenario,host,provide
13758,containers,providers,Azure
13759,host,containers,run
13760,Figure,setup,gives
13761,victim,attacks,runs
13762,attacker,enclave,tries
13763,victim,parts,use
13764,process,phase,run
13765,sets,key,locates
13766,monitors,computation,identified
13767,attacker,traces,gives
13768,program,attackers,uses
13769,reside,Intel,suggested
13770,leakage,encryption,enclave
13771,library,multiplications,uses
13772,signature,data,provides
13773,attacker,victim,runs
13774,attacker,enclave,extract
13775,attacker,computations,uses
13776,attacker,implementation,targets
13777,mbedTLS,domain,uses
13778,size,base,suggested
13779,mbedTLS,function,uses
13780,buffer,buffer,multiplied
13781,buffer,calloc,allocated
13782,malware,enclave,reside
13783,enclave,key,receives
13784,code,code,encrypted
13785,loader,data,contain
13786,loader,server,provide
13787,attacks,systems,focused
13788,victim,applications,unprivileged
13789,attack,vulnerabilities,works
13790,victim,system,run
13791,SGX,system,available
13792,cache,cores,shared
13793,provider,software,expect
13794,containers,containers,assume
13795,user,container,run
13796,software,attacks,protect
13797,sequences,malware,match
13798,method,al,causes
13799,scanners,analysis,implement
13800,API,activity,detect
13801,counters,malware,assume
13802,sets,information,monitor
13803,cache,eviction,require
13804,techniques,enclave,rely
13805,instructions,enclaves,read
13806,instructions,exit,cause
13807,timer,ARM,demonstrated
13808,variable,source,serves
13809,row,conflicts,distinguish
13810,inc,instruction,add
13811,operands,cost,incur
13812,experiments,performance,showed
13813,thread,variable,improve
13814,value,thread,changed
13815,operation,instructions,performed
13816,counter,increment,moved
13817,copying,location,add
13818,Listing,thread,shows
13819,thread,code,Listing
13820,method,level,open
13821,Figure,version,shows
13822,body,size,increase
13823,increment,1cycle,carried
13824,Prime+Probe,sets,relies
13825,cache,addresses,translate
13826,limitation,enclaves,applies
13827,address,bits,demonstrated
13828,approach,pages,support
13829,methods,address,demonstrated
13830,2015,time,uses
13831,applying,attack,consume
13832,cache,pages,propose
13833,enclave,pages,requires
13834,pages,list,creates
13835,pages,address,start
13836,page,list,mapped
13837,organization,functions,exploit
13838,addresses,addresses,map
13839,index,18,uses
13840,proximity,conflict,address
13841,memory,addresses,allocated
13842,pair,address,causes
13843,addresses,4kB,exceed
13844,address,value,bits
13845,addresses,value,bits
13846,cache,addresses,know
13847,Table,machine,shows
13848,index,bits,determined
13849,function,constraints,theorem
13850,yields,addresses,found
13851,address,row,pairs
13852,Figure,array,shows
13853,peaks,timings,correspond
13854,cache,peaks,set
13855,memory,address,generate
13856,cache,parts,indicate
13857,addresses,slice,map
13858,address,address,calculate
13859,cache,rate,add
13860,addresses,eviction,contribute
13861,algorithm,eviction,shows
13862,addresses,cache,know
13863,magnitude,Gruss,approach
13864,cases,approach,fall
13865,attack,sets,identify
13866,cache,step,set
13867,cache,set,allows
13868,cache,Algorithm,fill
13869,algorithm,victim,measure
13870,timings,victim,probe
13871,set,cache,cached
13872,addresses,set,evicted
13873,step,step,acts
13874,measurement,eviction,ensures
13875,activity,parts,consists
13876,exponentiation,buffers,start
13877,followed,exponentiation,depends
13878,buffer,misses,ends
13879,detection,peak,find
13880,buffer,range,assume
13881,cache,pattern,sets
13882,experiments,attack,yields
13883,buffers,cache,Gruss
13884,address,exponentiations,heap
13885,measurements,rate,maintain
13886,measurements,algorithm,shows
13887,intervals,misses,intervals
13888,rate,misses,takes
13889,intervals,enclave,indicate
13890,traces,sources,obtained
13891,alignment,timing,alter
13892,interrupts,victim,lead
13893,noise,management,include
13894,methods,traces,exist
13895,traces,trace,extract
13896,keys,errors,suffer
13897,keys,phase,eliminate
13898,approach,measurements,traces
13899,recovery,steps,comes
13900,keys,key,merged
13901,Figure,segment,shows
13902,values,hits,indicate
13903,hits,measurements,allow
13904,sum,window,squared
13905,noise,threshold,exceed
13906,measurements,interpolation,apply
13907,trace,Figure,shows
13908,1,algorithm,resampled
13909,multiplications,time,overlap
13910,peaks,multiplications,correspond
13911,threshold,thread,stable
13912,height,Figure,shown
13913,peak,threshold,drops
13914,exponent,Figure,correspond
13915,activity,sets,observed
13916,corresponding,0,discarded
13917,noise,1,cancels
13918,attacker,trace,miss
13919,measurement,0,distinguished
13920,thread,counter,use
13921,keys,recovery,corrected
13922,recovery,key,merge
13923,deletions,key,flips
13924,Algorithm,recovery,shows
13925,match,bit,correct
13926,keys,vote,won
13927,Table,bits,gives
13928,keys,bit,repeated
13929,section,victim,evaluate
13930,mbedTLS,enclaves,makes
13931,evaluation,security,provides
13932,function,key,increases
13933,keys,attacker,improve
13934,García,al,provide
13935,computer,driver,supports
13936,evaluation,4,shown
13937,attacker,machine,enclave
13938,Figure,attack,gives
13939,detection,victim,varies
13940,attack,sets,select
13941,noise,set,buffer
13942,attacks,noise,Gruss
13943,attack,trials,requires
13944,require,trace,capture
13945,experiments,3min,takes
13946,spans,cycles,average
13947,bits,key,distributed
13948,multiplication,107662cycles,takes
13949,attacker,slowdown,differs
13950,victim,734cycles,takes
13951,recovery,section,combine
13952,Figure,traces,shows
13953,lookahead,errors,windows
13954,shifts,keys,case
13955,keys,size,incurs
13956,size,errors,shows
13957,size,runtime,reduces
13958,measurement,traces,conducted
13959,Figure,performance,affects
13960,attacks,enclave,captured
13961,computers,enclaves,protected
13962,attacking,enclave,attacking
13963,cache,enclave,run
13964,attack,environment,works
13965,driver,containers,shared
13966,enclaves,system,communicate
13967,Running,isolation,provide
13968,access,access,provides
13969,operations,penalty,virtualized
13970,caches,container,affected
13971,container,malware,changes
13972,victim,containers,running
13973,number,recovery,require
13974,containers,malware,confirm
13975,cache,machines,shared
13976,pages,machine,relies
13977,advantages,countermeasures,disadvantages
13978,countermeasures,system,presented
13979,group,hardware,assuming
13980,signer,signature,generates
13981,signer,mod,calculates
13982,attacker,execution,blinded
13983,attacker,collisions,wait
13984,exponent,factor,grows
13985,countermeasure,source,relies
13986,Exponent,operations,computations
13987,technique,DES,proposed
13988,computations,use,algorithm
13989,countermeasure,algorithms,specific
13990,implementations,Ge,discussed
13991,Implementing,system,requires
13992,timers,approach,forms
13993,timers,attacks,eliminate
13994,SGX,trust,ideas
13995,provider,activities,mitigate
13996,API,interaction,calls
13997,malware,plaintext,change
13998,code,scanner,contains
13999,Fogh,attacks,proposed
14000,approaches,attacks,detect
14001,cache,enclaves,accesses
14002,Figure,enclave,shows
14003,misses,application,caused
14004,mechanisms,malware,makes
14005,SGX,attacks,debug
14006,enclave,parts,gets
14007,hardware,system,trusted
14008,cache,address,set
14009,cache,pages,set
14010,driver,system,pages
14011,cache,enclaves,data
14012,system,host,attacks
14013,coloring,system,requires
14014,enclaves,attacks,coloring
14015,Protecting,enclaves,enclaves
14016,attack,location,relies
14017,behavior,implementation,uses
14018,heap,buffers,suggest
14019,sets,advantages,bears
14020,change,algorithm,run
14021,method,system,requires
14022,pages,sets,assign
14023,measure,%,correct
14024,CAT,lines,restrict
14025,CAT,algorithms,uses
14026,approach,enclave,applied
14027,approach,attacker,allow
14028,level,level,protect
14029,way,enclaves,activates
14030,user,enclaves,protect
14031,element,CPU,propose
14032,driver,data,provide
14033,use,code,depends
14034,Providing,enclaves,allow
14035,program,attacks,cached
14036,implementation,attacks,abused
14037,attacks,malware,speculations
14038,enclaves,computations,claimed
14039,paper,enclaves,demonstrated
14040,channels,size,build
14041,attack,attacks,succeeds
14042,trace,recovery,extract
14043,SGX,code,provides
14044,counters,malware,detect
14045,performance,reasons,include
14046,attacks,attacks,provides
14047,SGX,countermeasures,discussed
14048,paper,paper,contained
14049,Channels,Degradation,Performance
14050,Slides,ICSA,https://sgxisca.weebly.com/.
14051,Reduce,footprint,mbed
14052,attack,implementation,https://doi.org/10.1007/978-3-642-36095-4_2
14053,Bazrafshan,techniques,Engineers
14054,channel,Counters,attacks
14055,Ge,hardware,survey
14056,Cache,sgx,attacks
14057,attacks,cloud,enable
14058,Intel,Manual,https://www.intel.com/content/dam/www/public/us/en/documents/manuals/64-ia-32-architecturesoptimization-manual.pdf
14059,Linux,Reference,OS
14060,what,prelease,SGX
14061,Intel,Manual,Ⓡ
14062,Cores,Sandboxing,Works
14063,Irazoqui,minute,Wait
14064,Irazoqui,cloud,Know
14065,platform,attacks,HexPADS
14066,Cache,profit,missing
14067,García,time,Proceedings
14068,Rutkowska,Extensions,Thoughts
14069,Woudenberg,alignment,https://doi.org/10.1007/978-3-642-19074-2_8
14070,Vattikonda,timers,Workshop
14071,channels,keys,CCS’12
14072,project,Council,received
14073,work,project,supported
14074,idea,manuscript,wrote
14075,DG,sections,provided
14076,CM,text,gave
14077,SM,concepts,provided
14078,authors,manuscript,reviewed
14079,authors,manuscript,read
14080,authors,publication,consent
14081,authors,interests,declare
14082,Nature,affiliations,remains
14083,article,changes,distributed
14084,citation,Conditions,agree
14085,data,centre,Manage
14086,article,LightCom,Accesses
14087,user,model,achieve
14088,server,attack,equipped
14089,computation,TPUs,specified
14090,processing,computation,guarantee
14091,processing,simulations,prove
14092,concept,devices,describes
14093,devices,year,reach
14094,%,data,create
14095,computing,demand,provides
14096,data,computing,stored
14097,devices,processing,generated
14098,users,method,hesitate
14099,devices,sensors,example
14100,model,status,check
14101,size,Rate,reach
14102,signs,adversary,capture
14103,ciphertext,plaintext,Use
14104,field,problems,achieve
14105,techniques,solution,aspects
14106,data,servers,supports
14107,code,memory,allows
14108,enclave,enclave,protected
14109,information,adversaryFootnote,leaked
14110,cloud,minimum,kept
14111,fold,Storage,Secure
14112,center,storage,allows
14113,user,data,allow
14114,TPUs,attacks,attacks
14115,methods,computation,focus
14116,tasks,crypto,constructed
14117,result,computation,input
14118,LightCom,computation,solve
14119,authority,system,charge
14120,efficient,system,makes
14121,TPUs,user,allows
14122,user,outsourcing,requires
14123,owner,storage,need
14124,cloud,round,kept
14125,TPU,party,achieve
14126,cloud,interactions,need
14127,data,TPU,let
14128,challenges,attacks,achieve
14129,LightCom,ciphertext,uses
14130,stores,risk,share
14131,shares,TPU,update
14132,TPUs,enclave,called
14133,company,training,considered
14134,models,parameters,help
14135,intersection,technologies,delivered
14136,information,users,considered
14137,researchers,al,provide
14138,company,leakage,use
14139,system,system,evolving
14140,decisions,situation,undertaken
14141,vehicle,data,capture
14142,encryption,privacy,include
14143,operations,packets,encrypted
14144,LightCom,leakage,train
14145,structure,ties,set
14146,venues,access,adversaries
14147,provider,knowledge,extracted
14148,technologies,information,deal
14149,provider,information,achieve
14150,keys,ska,denote
14151,"1,\cdots",mi,m\
14152,message,X_{1}+\cdots,generate
14153,work,decryption,contains
14154,homomorphism,multiplication,m1+m2
14155,properties,LightCom,define
14156,vector,\,\leftarrow
14157,D,domain,called
14158,D\}\,"F}}(x_{1},\cdots",called
14159,paper,machine,executed
14160,section,model,define
14161,server,manner,focus
14162,system,User,comprises
14163,RU,key,generates
14164,shares,storage,outsource
14165,data,results,perform
14166,cloud,RU,outsourced
14167,cloud,RUs,provides
14168,TPU,storage,provides
14169,data,RUs,follow
14170,TPU,RU,provide
14171,\({\mathcal,data,acts
14172,RUs,RU,try
14173,shares,protocol,guess
14174,A}}^{*}_{3}\,RU,adversaries
14175,efficiency,shares,achieves
14176,RU,storage,uses
14177,ciphertexts,TPUs,uses
14178,TPUs,program,sent
14179,TPUs,RU,help
14180,LightCom,phases,classify
14181,RU,shares,algorithm
14182,initials,enclave,builds
14183,TPU,pk,uses
14184,RU,\cdots,separates
14185,RU,"\(x_{1,i},\cdots",builds
14186,phase,C}}_{i}\,achieve
14187,TPU,i.,generates
14188,TPUs,channel,build
14189,enclave,UnS,denote
14190,TPUs,10,\leftarrow
14191,TPUs,shares,update
14192,TPU,RU,builds
14193,RU,"j=1,⋯,w",computes
14194,data,operations,support
14195,procedure,Phase,follows
14196,TPU,\cdots,11
14197,RU,data,builds
14198,release,"1,\cdots",enclaves
14199,phase,program,achieve
14200,TPU,i.,generates
14201,TPUs,channel,build
14202,TPUs,\({\mathcal,i}:\cdots
14203,TPUs,shares,update
14204,UnS,enclave,set
14205,opens,RU,builds
14206,computes,results,result
14207,computation,definition,proposed
14208,loads,channel,builds
14209,TPUs,R}}_{i}\,help
14210,shares,generation,set
14211,loads,i.,sealed
14212,TPUs,C}}_{i}\,compute
14213,leaks,key,use
14214,RU,key,let
14215,RU,costs,brings
14216,needs,keys,generate
14217,periodicity,RU,bring
14218,shares,shares,Fig
14219,i.,Update,creates
14220,TPU,"1,\cdots",builds
14221,_,δi,sends
14222,TPU,sk^{(t)}_{i,\cdots
14223,shares,data,leaked
14224,section,operations,introduce
14225,N.,\(\mathbb,isomorphism
14226,needs,D}_{N}\,described
14227,RU,storage,seals
14228,system,computation,initialized
14229,RU,θ,executes
14230,system,shares,"1,\cdots"
14231,initials,enclave,builds
14232,function,"1,\cdots",send
14233,TPU,pk,seals
14234,parameters,section,need
14235,TPUs,ciphertext,allows
14236,χ,enclave,contains
14237,TPU,χ,uses
14238,χ,algorithm,uses
14239,needs,storage,provide
14240,\(S_{t,\(sk^{(t)}_{i}\,\leftarrow
14241,algorithm,outputs,holds
14242,TPU,xi,uses
14243,protocol,computation,called
14244,\(r,\mathbb,holds
14245,TPU,\([\!\,encrypts
14246,\(\mathfrak,\([\!\,generates
14247,TPU,\([\!\,sends
14248,"P}},\cdots",\mathbb,\!\![r]\!\
14249,TPU,⌈r⌋N,gets
14250,"1,\cdots",\mathbb,holds
14251,protocol,share,\mathbb
14252,TPU,\mathbb,\(\mathfrak
14253,"i\((i=2,\cdots",\([\!\,computes
14254,computes,\,P}}}\
14255,protocol,TPU,generate
14256,a1,computation,sends
14257,"P}},\cdots",\([\!\,generates
14258,TPU,\([\!\,uses
14259,denotes,\(\mathfrak,result
14260,enclaves,parameters,Stage
14261,enclave,\([\!\,sends
14262,\mathfrak,\([\!\,computes
14263,2,\([\!\,sends
14264,\(\mathfrak,\mathfrak,denotes
14265,enclave,\mathfrak,\(\mathfrak
14266,TPUs,\(X,_
14267,P}}\,\mathfrak,\oplus
14268,TPU,\(\mathfrak,\mathfrak
14269,TPUs,\mathfrak,\rangle
14270,\(\mathfrak,\mathfrak,\leftarrow
14271,TPU,\(\mathfrak,j.
